股票简称,股票代码,上市日期,发行价,最新价,发行中签率,总发行数,首日涨幅
日联科技,688531,2023-03-31 00:00:00,152.38,142.18,0.04795068,1985.1367,-3.0
海通发展,603162,2023-03-29 00:00:00,37.25,17.13,0.04517701,4127.6015,-0.52
苏能股份,600925,2023-03-29 00:00:00,6.18,5.92,0.23529894,68888.8889,-0.5
未来电器,301386,2023-03-29 00:00:00,29.99,27.38,0.0228843012,3500,-1.16
科瑞思,301314,2023-03-28 00:00:00,63.78,52.48,0.013173198,1062.5,-0.91
联合水务,603291,2023-03-27 00:00:00,5.86,16.91,0.04873213,4232.2061,-2.25
宿迁联盛,603065,2023-03-21 00:00:00,12.85,14.49,0.04910129,4190,-0.69
涛涛车业,301345,2023-03-21 00:00:00,73.45,50.02,0.0232401397,2733.36,-1.84
通达海,301378,2023-03-20 00:00:00,95,57.63,0.0143434705,1150,-3.01
宏源药业,301246,2023-03-20 00:00:00,50,31.7,0.028883742,4725.72,-0.97
泓淋电力,301439,2023-03-17 00:00:00,19.99,18.03,0.0337070523,9728,0.84
彩蝶实业,603073,2023-03-16 00:00:00,19.85,19.56,0.03476162,2900,-1.56
亚光股份,603282,2023-03-15 00:00:00,18,30.3,0.03448043,3350,-0.46
上海建科,603153,2023-03-13 00:00:00,11.47,19.04,0.04892108,5500,-2.31
通达创智,001368,2023-03-13 00:00:00,25.13,25.2,0.0257236436,2800,-3.26
宝地矿业,601121,2023-03-10 00:00:00,4.38,7.8,0.10009938,20000,-0.13
茂莱光学,688502,2023-03-09 00:00:00,69.72,169.99,0.04069329,1320,-4.83
华塑科技,301157,2023-03-09 00:00:00,56.5,51.45,0.0207728574,1500,-2.11
一彬科技,001278,2023-03-08 00:00:00,17,22.74,0.0277981888,3093.34,0.31
播恩集团,001366,2023-03-07 00:00:00,9.32,15.58,0.02937403,4035,-0.89
绿通科技,301322,2023-03-06 00:00:00,131.11,57.1,0.0236552615,1749,-0.63
金海通,603061,2023-03-03 00:00:00,58.58,112.58,0.016184,1500,-2.24
四川黄金,001337,2023-03-03 00:00:00,7.09,33.96,0.0405707421,6000,-4.69
纳睿雷达,688522,2023-03-01 00:00:00,46.68,52.18,0.03769051,3866.68,-2.05
华人健康,301408,2023-03-01 00:00:00,16.24,17.89,0.0282777864,6001,-2.24
多利科技,001311,2023-02-27 00:00:00,61.87,55.4,0.0303250963,3533.3334,-0.13
和泰机电,001225,2023-02-22 00:00:00,46.81,44.52,0.013844675,1616.68,-0.22
龙迅股份,688486,2023-02-21 00:00:00,64.76,90.51,0.03911379,1731.4716,-3.41
真兰仪表,301303,2023-02-20 00:00:00,26.8,23.45,0.0295505032,7300,-1.1
亚通精工,603190,2023-02-17 00:00:00,29.09,30.18,0.03396677,3000,1.21
中润光学,688307,2023-02-16 00:00:00,23.88,30.27,0.03641068,2200,0.56
扬州金泉,603307,2023-02-16 00:00:00,31.04,47.51,0.0174023,1675,-2.66
坤泰股份,001260,2023-02-16 00:00:00,14.27,21.24,0.0266064956,2875,0.14
亿道信息,001314,2023-02-14 00:00:00,35,38.6,0.0290954912,3511.15,-1.71
裕太微-U,688515,2023-02-10 00:00:00,92,151.0,0.0446369,2000,0.85
阿莱德,301419,2023-02-09 00:00:00,24.8,37.38,0.0203072826,2500,-1.5
湖南裕能,301358,2023-02-09 00:00:00,23.77,43.72,0.0367971975,18931.32,-0.75
凌玮科技,301373,2023-02-08 00:00:00,33.73,33.18,0.0252109961,2712,-1.66
格力博,301260,2023-02-08 00:00:00,30.85,22.61,0.0425332989,12154,-1.57
信达证券,601059,2023-02-01 00:00:00,8.25,14.85,0.14665842,32430,-2.81
江瀚新材,603281,2023-01-31 00:00:00,35.59,31.36,0.0550356,6666.6667,-1.41
福斯达,603173,2023-01-30 00:00:00,18.65,29.23,0.04001308,4000,0.1
英方软件,688435,2023-01-19 00:00:00,38.66,68.44,0.03991428,2094.6737,-3.06
鑫磊股份,301317,2023-01-19 00:00:00,20.67,24.39,0.0255109115,3930,-0.37
九州一轨,688485,2023-01-18 00:00:00,17.47,14.79,0.04111589,3757.3016,-1.0
百利天恒-U,688506,2023-01-06 00:00:00,24.7,89.28,0.05126119,4010,3.33
佰维存储,688525,2022-12-30 00:00:00,13.99,80.5,0.0451689,4303.2914,-2.06
富乐德,301297,2022-12-30 00:00:00,8.48,20.63,0.0320865037,8460,-8.39
鸿铭股份,301105,2022-12-30 00:00:00,40.5,38.33,0.0165332231,1250,-0.62
清越科技,688496,2022-12-28 00:00:00,9.16,15.59,0.05085734,9000,-1.95
萤石网络,688475,2022-12-28 00:00:00,28.77,39.04,0.05029538,11250,-1.49
尚太科技,001301,2022-12-28 00:00:00,33.88,52.14,0.0411362799,6494.37,-0.82
川宁生物,301301,2022-12-27 00:00:00,5,8.88,0.0529543349,22280,-1.11
通力科技,301255,2022-12-27 00:00:00,37.02,44.8,0.0158209262,1700,0.0
山外山,688410,2022-12-26 00:00:00,32.3,48.31,0.04202427,3619,-2.76
珠城科技,301280,2022-12-26 00:00:00,67.4,35.69,0.021623415,1628.34,-2.09
微导纳米,688147,2022-12-23 00:00:00,24.21,48.23,0.04422036,4544.5536,-4.68
杰华特,688141,2022-12-23 00:00:00,38.26,33.89,0.04585893,5808,-2.45
